DATE,VALUE
2011-07-01,5.31714
2011-10-01,5.30231
2012-01-01,5.30926
2012-04-01,5.30728
2012-07-01,5.31025
2012-10-01,5.30975
2013-01-01,5.31616
2013-04-01,5.31812
2013-07-01,5.31910
2013-10-01,5.30777
2014-01-01,5.32545
2014-04-01,5.33850
2014-07-01,5.33320
2014-10-01,5.30032
2015-01-01,5.25489
2015-04-01,5.26269
2015-07-01,5.25541
2015-10-01,5.22359
2016-01-01,5.20401
2016-04-01,5.22252
2016-07-01,5.23111
2016-10-01,.
